timestamp,asset,model,experiment_id,predicted_price,actual_price,position,pnl,equity,drawdown
2025-11-13T12:00:00Z,BTC-USD,PDE-BE,exp-002,73163.21,71438.22,-4.9339,-3996.67,94774.42,0.1384
2025-11-14T02:24:00Z,ETH-USD,BS-Analytic,exp-001,3370.75,3331.46,-1.8352,67.6,94842.02,0.1378
2025-11-14T16:48:00Z,SOL-USD,MC-Sim,exp-001,146.51,150.47,-3.1288,-0.07,94841.95,0.1378
2025-11-15T07:12:00Z,SOL-USD,PDE-CN,exp-001,140.84,137.05,-3.1777,4.22,94846.17,0.1378
2025-11-15T21:36:00Z,BTC-USD,PDE-BE,exp-003,68221.71,66460.78,0.6788,999.38,95845.55,0.1287
2025-11-16T12:00:00Z,SOL-USD,MC-Sim,exp-001,147.14,146.94,3.7229,0.39,95845.94,0.1287
2025-11-17T02:24:00Z,ETH-USD,BS-Analytic,exp-002,3274.58,3246.24,-0.5419,3.72,95849.66,0.1286
2025-11-17T16:48:00Z,SOL-USD,PDE-BE,exp-003,152.5,156.51,0.0,-0.0,95849.66,0.1286
2025-11-18T07:12:00Z,BTC-USD,PDE-BE,exp-002,71035.64,71596.12,3.6659,458.93,96308.59,0.1245
2025-11-18T21:36:00Z,SOL-USD,MC-Sim,exp-003,147.14,145.67,-4.7252,-5.07,96303.52,0.1245
2025-11-19T12:00:00Z,BTC-USD,PDE-BE,exp-002,72751.9,71708.9,0.0,-0.0,96303.52,0.1245
2025-11-20T02:24:00Z,BTC-USD,BS-Analytic,exp-002,70997.14,69524.97,-0.9153,-205.97,96097.54,0.1264
2025-11-20T16:48:00Z,ETH-USD,PDE-BE,exp-003,3166.4,3198.34,0.0,-0.0,96097.54,0.1264
2025-11-21T07:12:00Z,SOL-USD,PDE-CN,exp-003,139.11,143.32,-2.9552,-8.34,96089.21,0.1265
2025-11-21T21:36:00Z,SOL-USD,PDE-CN,exp-002,145.6,146.22,0.0,0.0,96089.21,0.1265
2025-11-22T12:00:00Z,BTC-USD,PDE-BE,exp-003,70559.25,71808.39,-2.0916,-312.91,95776.3,0.1293
2025-11-23T02:24:00Z,ETH-USD,PDE-BE,exp-001,3767.12,3711.56,-4.4664,-235.84,95540.46,0.1315
2025-11-23T16:48:00Z,SOL-USD,BS-Analytic,exp-003,157.47,154.85,4.1484,5.08,95545.54,0.1314
2025-11-24T07:12:00Z,SOL-USD,BS-Analytic,exp-001,138.94,135.91,-4.1746,-1.01,95544.53,0.1314
2025-11-24T21:36:00Z,ETH-USD,PDE-BE,exp-001,3707.74,3626.94,1.3691,38.0,95582.53,0.1311
